#num,date,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,name
247,2020-10-26,8889179,0,5772498,230510,0,0,61247,,30887,442,,,0.0,美国
248,2020-10-27,8962783,0,5833824,231045,0,0,73604,,61326,535,,,0.0,美国
249,2020-10-28,9038030,0,5877964,232084,0,0,75247,,44140,1039,,,0.0,美国
250,2020-10-29,9120751,0,5933212,233130,0,0,82721,,55248,1046,,,0.0,美国
251,2020-10-30,9212767,0,5983345,234177,0,0,92016,,50133,1047,,,0.0,美国
252,2020-10-31,9316297,0,6024512,235159,0,0,103530,,41167,982,,,0.0,美国
253,2020-11-01,9402590,0,6062438,236072,0,0,86293,,37926,913,,,0.0,美国
254,2020-11-02,9473911,0,6103605,236471,0,0,71321,,41167,399,,,0.0,美国
255,2020-11-03,9567543,0,6171402,236997,0,0,93632,,67797,526,,,0.0,美国
256,2020-11-04,9692528,0,6236170,238641,0,0,124985,,64768,1644,,,0.0,美国
257,2020-11-05,9801355,0,6292019,239829,0,0,108827,,55849,1188,,,0.0,美国
258,2020-11-06,9919522,0,6340472,240953,0,0,118167,,48453,1124,,,0.0,美国
259,2020-11-07,10058586,0,6391208,242230,0,0,139064,,50736,1277,,,0.0,美国
260,2020-11-08,10182818,0,6441744,243257,0,0,124232,,50536,1027,,,0.0,美国
261,2020-11-09,10288480,0,6483420,243768,0,0,105662,,41676,511,,,0.0,美国
262,2020-11-10,10421956,0,6552610,244448,0,0,133476,,69190,680,,,0.0,美国
263,2020-11-11,10559184,0,6601331,245799,0,0,137228,,48721,1351,,,0.0,美国
264,2020-11-12,10708630,0,6648679,247397,0,0,149446,,47348,1598,,,0.0,美国
265,2020-11-13,10873936,0,6728120,248585,0,0,165306,,79441,1188,,,0.0,美国
266,2020-11-14,11064364,0,6789146,249975,0,0,190428,,61026,1390,,,0.0,美国
267,2020-11-15,11226038,0,6891015,251256,0,0,161674,,101869,1281,,,0.0,美国
268,2020-11-16,11366379,0,6935630,251832,0,0,140341,,44615,576,,,0.0,美国
269,2020-11-17,11538057,0,7019304,252651,0,0,171678,,83674,819,,,0.0,美国
270,2020-11-18,11695711,0,7087796,254255,0,0,157654,,68492,1604,,,0.0,美国
271,2020-11-19,11873727,0,7166996,256254,0,0,178016,,79200,1999,,,0.0,美国
272,2020-11-20,12070712,0,7243488,258333,0,0,196985,,76492,2079,,,0.0,美国
273,2020-11-21,12274726,0,7316323,260283,0,0,204014,,72835,1950,,,0.0,美国
274,2020-11-22,12450666,0,7403847,261790,0,0,175940,,87524,1507,,,0.0,美国
275,2020-11-23,12588661,0,7452540,262696,0,0,137995,,48693,906,,,0.0,美国
276,2020-11-24,12777174,0,7548940,263687,0,0,188513,,96400,991,,,0.0,美国
277,2020-11-25,12955007,0,7636684,265891,0,0,177833,,87744,2204,,,0.0,美国
278,2020-11-26,13137962,0,7805280,268219,0,0,182955,,168596,2328,,,0.0,美国
279,2020-11-27,13248676,0,7846872,269555,0,0,110714,,41592,1336,,,0.0,美国
280,2020-11-29,13465126,0,7948659,271097,0,0,216450,,101787,1542,,,0.0,美国
